ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","T0","18-Aug-2025","826.55","830.00","830.00","829.00","829.00","827.65","829.50","2","1,659.00","2","2","100.00"
"SBIN","EQ","19-Aug-2025","827.65","827.50","831.00","825.80","829.15","830.40","829.06","50,76,681","4,20,88,57,802.10","1,10,280","31,42,693","61.90"
"SBIN","EQ","20-Aug-2025","830.40","828.70","831.90","827.40","828.90","828.95","829.56","44,93,888","3,72,79,70,038.65","89,785","27,15,546","60.43"
"SBIN","EQ","21-Aug-2025","828.95","828.95","833.25","824.05","824.05","825.70","828.67","44,02,511","3,64,82,16,255.50","1,08,762","15,67,457","35.60"
"SBIN","T0","22-Aug-2025","825.70","827.65","827.65","827.65","827.65","816.25","827.65","2","1,655.30","1","2","100.00"
"SBIN","EQ","22-Aug-2025","825.70","824.00","826.00","815.70","816.80","816.25","819.33","50,97,647","4,17,66,41,494.85","1,41,389","33,76,839","66.24"
"SBIN","EQ","25-Aug-2025","816.25","817.45","820.50","814.20","816.50","816.45","817.57","56,72,898","4,63,79,81,705.05","1,76,881","36,05,671","63.56"
"SBIN","EQ","26-Aug-2025","816.45","814.85","815.85","806.75","808.40","807.85","810.30","69,97,817","5,67,03,32,537.10","1,27,200","43,10,579","61.60"
"SBIN","EQ","28-Aug-2025","807.85","807.25","811.00","800.65","802.90","801.95","806.19","78,98,436","6,36,76,29,468.00","1,63,534","38,80,080","49.12"
"SBIN","T0","28-Aug-2025","807.85","810.00","810.00","810.00","810.00","801.95","810.00","3","2,430.00","2","1","33.33"
"SBIN","EQ","29-Aug-2025","801.95","800.70","806.70","798.50","802.40","802.50","803.00","68,61,440","5,50,97,12,391.70","1,27,449","43,61,938","63.57"
"SBIN","EQ","01-Sep-2025","802.50","803.10","808.30","802.65","805.50","806.05","805.30","56,19,805","4,52,56,56,654.45","1,28,697","31,47,651","56.01"
"SBIN","EQ","02-Sep-2025","806.05","806.30","810.50","802.65","803.75","803.90","806.45","50,75,460","4,09,31,29,116.75","1,06,989","23,01,086","45.34"
"SBIN","EQ","03-Sep-2025","803.90","804.30","813.30","803.00","813.00","812.15","810.40","42,61,589","3,45,35,82,134.40","87,672","21,90,190","51.39"
"SBIN","EQ","04-Sep-2025","812.15","814.65","816.75","808.00","809.85","809.40","811.23","44,71,950","3,62,77,64,983.40","96,652","22,79,579","50.98"
"SBIN","EQ","05-Sep-2025","809.40","811.50","812.50","803.65","806.95","806.60","807.29","51,94,842","4,19,37,21,391.00","1,02,729","24,19,904","46.58"
"SBIN","EQ","08-Sep-2025","806.60","808.00","813.85","806.80","808.00","808.80","810.20","46,14,227","3,73,84,54,020.95","1,21,620","28,05,764","60.81"
"SBIN","EQ","09-Sep-2025","808.80","812.00","812.35","805.60","808.00","808.85","808.44","45,67,272","3,69,23,46,687.10","1,04,998","16,24,783","35.57"
"SBIN","EQ","10-Sep-2025","808.85","812.00","824.60","810.40","818.45","818.20","818.64","72,85,853","5,96,44,83,743.85","1,06,322","43,13,967","59.21"
"SBIN","EQ","11-Sep-2025","818.20","819.10","825.70","819.00","824.60","823.65","823.20","74,25,055","6,11,22,87,855.00","1,27,782","36,55,874","49.24"
"SBIN","EQ","12-Sep-2025","823.65","824.10","825.80","819.80","823.20","823.55","822.85","50,78,018","4,17,84,28,627.05","97,209","33,22,711","65.43"
"SBIN","EQ","15-Sep-2025","823.55","823.55","827.80","821.10","824.00","824.75","824.82","38,52,494","3,17,76,18,594.55","1,12,933","16,78,632","43.57"
"SBIN","EQ","16-Sep-2025","824.75","825.10","833.00","821.65","832.65","831.55","829.33","94,67,531","7,85,17,53,614.45","1,76,946","45,27,713","47.82"
"SBIN","EQ","17-Sep-2025","831.55","834.30","858.15","831.00","856.90","857.15","847.27","1,72,43,938","14,61,03,49,915.40","2,40,034","82,96,103","48.11"
"SBIN","EQ","18-Sep-2025","857.15","858.65","860.80","851.10","854.10","854.35","855.42","1,04,00,847","8,89,70,51,776.00","2,61,925","58,52,962","56.27"
"SBIN","EQ","19-Sep-2025","854.35","852.00","864.45","849.30","862.55","862.35","861.00","1,52,06,426","13,09,27,18,216.85","2,46,465","1,02,88,458","67.66"
"SBIN","EQ","22-Sep-2025","862.35","862.00","868.20","854.00","854.70","855.25","860.89","65,94,034","5,67,67,37,180.15","1,58,066","33,01,087","50.06"
"SBIN","EQ","23-Sep-2025","855.25","854.60","874.25","851.20","869.60","870.60","866.65","1,43,57,863","12,44,31,85,268.45","2,18,373","72,16,250","50.26"
"SBIN","EQ","24-Sep-2025","870.60","876.00","880.50","864.45","866.15","866.20","872.28","1,28,40,160","11,20,02,49,246.85","2,19,731","68,55,311","53.39"
"SBIN","T0","24-Sep-2025","870.60","874.95","874.95","862.90","865.20","866.20","866.65","5","4,333.25","5","1","20.00"
"SBIN","EQ","25-Sep-2025","866.20","866.55","870.15","859.95","861.45","861.15","864.66","86,78,821","7,50,41,97,402.95","1,90,936","47,80,326","55.08"
"SBIN","EQ","26-Sep-2025","861.15","862.00","864.35","853.00","857.00","856.95","857.34","69,59,545","5,96,66,77,885.80","1,58,616","37,08,594","53.29"
"SBIN","EQ","29-Sep-2025","856.95","858.05","873.50","856.00","870.25","870.75","868.13","2,26,41,712","19,65,59,96,220.15","1,92,001","1,60,60,485","70.93"
"SBIN","EQ","30-Sep-2025","870.75","869.95","877.60","867.60","873.70","872.45","873.54","1,28,31,593","11,20,88,95,455.70","2,05,386","62,78,457","48.93"
